"Symbole accepté","Synonyme icône","Nom scientifique","Durée de l'accord","Période de croissance active","Couleur du feuillage","pH (minimum)","pH (maximum)","Précipitations (minimum)","Précipitations (maximum)","Tolérance à l'ombre","Température minimum (°F)"
"HAVI4","","Hamamelis virginiana","Vivace","Printemps et été","Vert","4.5","6.2","30","60","Intermédiaire","-28"
"HASTE2","","Hasteola","","","","","","","","",""
"HASU3","","Hasteola suaveolens","Vivace","","","","","","","",""
"HEDEO","","Hedeoma","","","","","","","","",""
"HEHI","","Hedeoma hispida","Annuelle","","","","","","","",""
"HEPU","","Hedeoma pulegioides","Annuelle","","","","","","","",""
"HEDER","","Hedera","","","","","","","","",""
"HEHE","","Hedera helix","Vivace","Printemps et été","Vert","5.2","7.8","28","65","Tolérant","-23"
"HELEN","","Helenium","","","","","","","","",""
"HEAM","","Helenium amarum","Annuelle","","","","","","","",""
"HEAMA","","Helenium amarum var. amarum","Annuelle","","","","","","","",""
"HEAU","","Helenium autumnale","Vivace","Printemps et été","Vert","4.0","7.5","10","60","Intolérant","-43"
"HEAUA","","Helenium autumnale var. autumnale","Vivace","","","","","","","",""
"HEFL","","Helenium flexuosum","Vivace","Printemps","Vert","4.5","7.5","20","60","Intolérant","-28"
"HELIA2","","Helianthemum","","","","","","","","",""
"HEBI2","","Helianthemum bicknellii","Vivace","","","","","","","",""
"HECA3","","Helianthemum canadense","Vivace","","","","","","","",""
"HEPR","","Helianthemum propinquum","Vivace","","","","","","","",""
"HELIA3","","Helianthus","","","","","","","","",""
"HEAN2","","Helianthus angustifolius","Vivace","Printemps et été","Vert foncé","4.0","7.0","25","65","Intermédiaire","-28"
"HEAN3","","Helianthus annuus","Annuelle","Été","Vert","5.5","7.8","12","60","Intolérant","52"
"HEDE4","","Helianthus debilis","Annuelle, Vivace","Printemps et été","Vert","5.2","7.2","35","60","Intolérant","22"
"HEDEC2","","Helianthus debilis ssp. cucumerifolius","Annuelle, Vivace","","","","","","","",""
"HEDE","","Helianthus decapetalus","Vivace","","","","","","","",""
"HEDI2","","Helianthus divaricatus","Vivace","","","","","","","",""
"HEGI","","Helianthus giganteus","Vivace","","","","","","","",""
"HEGR4","","Helianthus grosseserratus","Vivace","Printemps, été, automne","Vert foncé","5.8","7.3","20","40","Intolérant","-43"
"HEHI2","","Helianthus hirsutus","Vivace","","","","","","","",""
"HELA","","Helianthus ×laetiflorus","Vivace","","","","","","","",""
"HELA2","","Helianthus laevigatus","Vivace","","","","","","","",""
"HELU4","","Helianthus ×luxurians","Vivace","","","","","","","",""
"HEMA2","","Helianthus maximiliani","Vivace","","","","","","","",""
"HEMI3","","Helianthus microcephalus","Vivace","","","","","","","",""
"HEMO2","","Helianthus mollis","Vivace","","","","","","","",""
"HEOC2","","Helianthus occidentalis","Vivace","","","","","","","",""
"HEOCO","","Helianthus occidentalis ssp. occidentalis","Vivace","","","","","","","",""
"HEPA19","","Helianthus pauciflorus","Vivace","","","","","","","",""
"HEPAP2","","Helianthus pauciflorus ssp. pauciflorus","Vivace","","","","","","","",""
"HEPAS","","Helianthus pauciflorus ssp. subrhomboideus","Vivace","","","","","","","",""
"HESA2","","Helianthus salicifolius","Vivace","","","","","","","",""
"HEST","","Helianthus strumosus","Vivace","","","","","","","",""
"HETU","","Helianthus tuberosus","Vivace","Printemps et été","Jaune-vert","4.0","7.0","15","55","Intermédiaire","-43"
"HELIO2","","Heliopsis","","","","","","","","",""
"HEHE5","","Heliopsis helianthoides","Vivace","","","","","","","",""
"HEHEH","","Heliopsis helianthoides var. helianthoides","Vivace","","","","","","","",""
"HELIO3","","Heliotropium","","","","","","","","",""
"HECU3","","Heliotropium curassavicum","Annuelle, Vivace","Printemps, été, automne","Gris-vert","6.5","8.5","10","24","Intolérant","-28"
"HECUC2","","Heliotropium curassavicum var. curassavicum","Annuelle, Vivace","","","","","","","",""
"HEEU","","Heliotropium europaeum","Vivace","","","","","","","",""
"HEIN","","Heliotropium indicum","Annuelle","","","","","","","",""
"HEPR3","","Heliotropium procumbens","Annuelle, Vivace","","","","","","","",""
"HEPRP2","","Heliotropium procumbens var. procumbens","Annuelle, Vivace","","","","","","","",""
"HELLE","","Helleborus","","","","","","","","",""
"HEVI","","Helleborus viridis","Vivace","","","","","","","",""
"HELON","","Helonias","","","","","","","","",""
"HEBU","","Helonias bullata","Vivace","","","","","","","",""
"HEMER","","Hemerocallis","","Printemps et été","Vert","4.8","8.0","28","60","Intermédiaire","-23"
"HEFU","","Hemerocallis fulva","Vivace","","","","","","","",""
"HELI4","","Hemerocallis lilioasphodelus","Vivace","","","","","","","",""
"HEPAT","","Hepatica","","","","","","","","",""
"HENO2","","Hepatica nobilis","Vivace","","","","","","","",""
"HENOA","","Hepatica nobilis var. acuta","Vivace","","","","","","","",""
"HENOO","","Hepatica nobilis var. obtusa","Vivace","","","","","","","",""
"HERAC","","Heracleum","","","","","","","","",""
"HEMA80","","Heracleum maximum","Vivace","Printemps et été","Vert","5.4","7.3","14","45","Intolérant","-38"
"HERMB","","Hermbstaedtia","","","","","","","","",""
"HEOD","","Hermbstaedtia odorata","Vivace","","","","","","","",""
"HERNI","","Herniaria","","","","","","","","",""
"HEGL8","","Herniaria glabra","Annuelle, Vivace","","","","","","","",""
"HEHI7","","Herniaria hirsuta","Annuelle","","","","","","","",""
"HEHIC","","Herniaria hirsuta ssp. cinerea","Annuelle","","","","","","","",""
"HEIN4","","Herniaria incana","Vivace","","","","","","","",""
"HESPE2","","Hesperis","","","","","","","","",""
"HEMA3","","Hesperis matronalis","Biennale, Vivace","Printemps et été","Vert","5.0","7.0","32","60","Intermédiaire","-23"
"HETER","","Heteranthera","","","","","","","","",""
"HEDU2","","Heteranthera dubia","Annuelle, Vivace","","","","","","","",""
"HEMU5","","Heteranthera multiflora","Annuelle","","","","","","","",""
"HERE","","Heteranthera reniformis","Vivace","","","","","","","",""
"HETER7","","Heterosperma","","","","","","","","",""
"HEPI2","","Heterosperma pinnatum","Annuelle","","","","","","","",""
"HETER8","","Heterotheca","","","","","","","","",""
"HESU3","","Heterotheca subaxillaris","Annuelle","","","","","","","",""
"HEUCH","","Heuchera","","","","","","","","",""
"HEAM6","","Heuchera americana","Vivace","","","","","","","",""
"HEAMA2","","Heuchera americana var. americana","Vivace","","","","","","","",""
"HEAMH2","","Heuchera americana var. hispida","Vivace","","","","","","","",""
"HEPU7","","Heuchera pubescens","Vivace","","","","","","","",""
"HEVI2","","Heuchera villosa","Vivace","","","","","","","",""
"HEVIV2","","Heuchera villosa var. villosa","Vivace","","","","","","","",""
"HEXAL","","Hexalectris","","","","","","","","",""
"HESP3","","Hexalectris spicata","Vivace","","","","","","","",""
"HESPS3","","Hexalectris spicata var. spicata","Vivace","","","","","","","",""
"HEXAS","","Hexastylis","","","","","","","","",""
"HEVI3","","Hexastylis virginica","Vivace","","","","","","","",""
"HIBIS2","","Hibiscus","","","","","","","","",""
"HILA2","","Hibiscus laevis","Vivace","Printemps, été, automne","Vert","5.5","7.2","32","60","Intermédiaire","-13"
"HIMO","","Hibiscus moscheutos","Annuelle, Vivace","Printemps","Gris-vert","4.0","7.5","35","65","Intolérant","-13"
"HISY","","Hibiscus syriacus","Vivace","","","","","","","",""
"HITR","","Hibiscus trionum","Annuelle","","","","","","","",""
"HIERA","","Hieracium","","","","","","","","",""
"HIAU","","Hieracium aurantiacum","Vivace","","","","","","","",""
"HICA10","","Hieracium caespitosum","Vivace","","","","","","","",""
"HIFL3","","Hieracium ×floribundum","Vivace","","","","","","","",""
"HIGR5","","Hieracium greenii","Vivace","","","","","","","",""
"HIGR3","","Hieracium gronovii","Vivace","","","","","","","",""
"HIMA10","","Hieracium marianum","Vivace","","","","","","","",""
"HIPA2","","Hieracium paniculatum","Vivace","","","","","","","",""
"HIPI","","Hieracium pilosella","Vivace","","","","","","","",""
"HIPIP","","Hieracium pilosella var. pilosella","Vivace","","","","","","","",""
"HISC","","Hieracium scabrum","Vivace","","","","","","","",""
"HISCS","","Hieracium scabrum var. scabrum","Vivace","","","","","","","",""
"HIVE","","Hieracium venosum","Vivace","","","","","","","",""
"HIERO","","Hierochloe","","","","","","","","",""
"HIHI","","Hierochloe hirta","Vivace","","","","","","","",""
"HIHIA","","Hierochloe hirta ssp. arctica","Vivace","","","","","","","",""
"HOLCU","","Holcus","","","","","","","","",""
"HOLA","","Holcus lanatus","Vivace","Printemps","Blanc-gris","4.0","7.0","20","65","Intermédiaire","-23"
"HOLOS","","Holosteum","","","","","","","","",""
"HOUM","","Holosteum umbellatum","Annuelle","","","","","","","",""
"HONCK","","Honckenya","","","","","","","","",""
"HOPE","","Honckenya peploides","Vivace","","","","","","","",""
"HOPER2","","Honckenya peploides ssp. robusta","Vivace","","","","","","","",""
"HORDE","","Hordeum","","","","","","","","",""
"HOBR2","","Hordeum brachyantherum","Vivace","Printemps et été","Vert","6.0","8.5","20","80","Intolérant","-43"
"HOBRB2","","Hordeum brachyantherum ssp. brachyantherum","Vivace","","","","","","","",""
"HOJU","","Hordeum jubatum","Vivace","","","","","","","",""
"HOJUJ","","Hordeum jubatum ssp. jubatum","Vivace","","","","","","","",""
"HOMU","","Hordeum murinum","Annuelle","","","","","","","",""
"HOMUL","","Hordeum murinum ssp. leporinum","Annuelle","","","","","","","",""
"HOMUM","","Hordeum murinum ssp. murinum","Annuelle","","","","","","","",""
"HOPU","","Hordeum pusillum","Annuelle","Printemps","Vert","6.2","8.0","10","60","Intolérant","32"
"HOVU","","Hordeum vulgare","Annuelle","Automne, Winter and Printemps","Vert","5.0","8.5","12","100","Intolérant","-43"
"HOSTA","","Hosta","","","","","","","","",""
"HOLA3","","Hosta lancifolia","Vivace","","","","","","","",""
"HOVE","","Hosta ventricosa","Vivace","","","","","","","",""
"HOTTO","","Hottonia","","","","","","","","",""
"HOIN","","Hottonia inflata","Annuelle","","","","","","","",""
"HOUST","","Houstonia","","","","","","","","",""
"HOCA4","","Houstonia caerulea","Vivace","","","","","","","",""
"HOLO","","Houstonia longifolia","Vivace","","","","","","","",""
"HOPU2","","Houstonia purpurea","Vivace","","","","","","","",""
"HOPUC","","Houstonia purpurea var. calycosa","Vivace","","","","","","","",""
"HOPUP3","","Houstonia purpurea var. purpurea","Vivace","","","","","","","",""
"HOPU3","","Houstonia pusilla","Annuelle","","","","","","","",""
"HOSE2","","Houstonia serpyllifolia","Vivace","","","","","","","",""
"HUDSO","","Hudsonia","","","","","","","","",""
"HUTO","","Hudsonia tomentosa","Vivace","Printemps et été","Gris-vert","5.5","6.9","35","55","Intolérant","-13"
"HUTOT","","Hudsonia tomentosa var. tomentosa","Vivace","","","","","","","",""
"HUMUL","","Humulus","","","","","","","","",""
"HUJA","","Humulus japonicus","Annuelle, Vivace","","","","","","","",""
"HULU","","Humulus lupulus","Vivace","","","","","","","",""
"HULUL","","Humulus lupulus var. lupuloides","Vivace","","","","","","","",""
"HULUL2","","Humulus lupulus var. lupulus","Vivace","","","","","","","",""
"HULUP","","Humulus lupulus var. pubescens","Vivace","","","","","","","",""
"HUPER","","Huperzia","","","","","","","","",""
"HULU2","","Huperzia lucidula","Vivace","","","","","","","",""
"HUPO2","","Huperzia porophila","Vivace","","","","","","","",""
"HYBAN","","Hybanthus","","","","","","","","",""
"HYCO6","","Hybanthus concolor","Vivace","","","","","","","",""
"HYDRA","","Hydrangea","","","","","","","","",""
"HYAR","","Hydrangea arborescens","Vivace","","","","","","","",""
"HYDRA2","","Hydrastis","","","","","","","","",""
"HYCA","","Hydrastis canadensis","Vivace","","","","","","","",""
"HYDRI","","Hydrilla","","","","","","","","",""
"HYVE3","","Hydrilla verticillata","Vivace","","","","","","","",""
"HYDRO2","","Hydrocotyle","","","","","","","","",""
"HYAM","","Hydrocotyle americana","Vivace","","","","","","","",""
"HYPR10","","Hydrocotyle prolifera","Vivace","","","","","","","",""
"HYRA","","Hydrocotyle ranunculoides","Vivace","","","","","","","",""
"HYSI","","Hydrocotyle sibthorpioides","Vivace","","","","","","","",""
"HYUM","","Hydrocotyle umbellata","Vivace","","","","","","","",""
"HYVE2","","Hydrocotyle verticillata","Vivace","","","","","","","",""
"HYVEV","","Hydrocotyle verticillata var. verticillata","Vivace","","","","","","","",""
"HYDRO3","","Hydrolea","","","","","","","","",""
"HYQU","","Hydrolea quadrivalvis","Vivace","Été","Vert","5.7","8.3","35","50","Intolérant","12"
"HYDRO4","","Hydrophyllum","","","","","","","","",""
"HYCA3","","Hydrophyllum canadense","Vivace","","","","","","","",""
"HYMA","","Hydrophyllum macrophyllum","Vivace","","","","","","","",""
"HYVI","","Hydrophyllum virginianum","Vivace","","","","","","","",""
"HYVIV","","Hydrophyllum virginianum var. virginianum","Vivace","","","","","","","",""
"HYLOT","","Hylotelephium","","","","","","","","",""
"HYTE9","","Hylotelephium telephioides","Vivace","","","","","","","",""
"HYTE10","","Hylotelephium telephium","Vivace","","","","","","","",""
"HYTET2","","Hylotelephium telephium ssp. telephium","Vivace","","","","","","","",""
"HYOSC","","Hyoscyamus","","","","","","","","",""
"HYNI","","Hyoscyamus niger","Annuelle, Biennale","","","","","","","",""
"HYPEC","","Hypecoum","","","","","","","","",""
"HYPE8","","Hypecoum pendulum","Annuelle","","","","","","","",""
"HYPER","","Hypericum","","","","","","","","",""
"HYAD","","Hypericum adpressum","Vivace","","","","","","","",""
"HYAS80","","Hypericum ascyron","Vivace","Printemps et été","Vert","5.7","7.1","32","55","Intolérant","-23"
"HYCA7","","Hypericum canadense","Annuelle","","","","","","","",""
"HYCR3","","Hypericum crux-andreae","Vivace","Printemps et été","Vert","4.6","7.0","32","48","Intermédiaire","-8"
"HYDE","","Hypericum densiflorum","Vivace","Printemps","Vert","4.0","7.5","35","50","Tolérant","7"
"HYDE2","","Hypericum denticulatum","Vivace","Été","Vert","4.8","6.4","36","55","Intermédiaire","2"
"HYDI2","","Hypericum dissimulatum","Annuelle","","","","","","","",""
"HYDR","","Hypericum drummondii","Annuelle","","","","","","","",""
"HYEL","","Hypericum ellipticum","Vivace","","","","","","","",""
"HYGE","","Hypericum gentianoides","Annuelle","Printemps, été, automne","Vert","4.6","7.0","30","55","Intermédiaire","47"
"HYGY","","Hypericum gymnanthum","Vivace","","","","","","","",""
"HYHY","","Hypericum hypericoides","Vivace","","","","","","","",""
"HYHYH","","Hypericum hypericoides ssp. hypericoides","Vivace","","","","","","","",""
"HYHYM","","Hypericum hypericoides ssp. multicaule","Vivace","","","","","","","",""
"HYMU","","Hypericum mutilum","Annuelle, Vivace","Été","Vert","4.6","7.2","30","55","Intermédiaire","-23"
"HYPE","","Hypericum perforatum","Vivace","","","","","","","",""
"HYPR","","Hypericum prolificum","Vivace","Printemps et été","Vert","4.6","7.2","30","55","Intermédiaire","-28"
"HYPU","","Hypericum punctatum","Vivace","Été","Vert","4.6","7.0","32","55","Tolérant","-33"
"HYVI6","","Hypericum virgatum","Vivace","","","","","","","",""
"HYPOC","","Hypochaeris","","","","","","","","",""
"HYRA3","","Hypochaeris radicata","Vivace","","","","","","","",""
"HYPOX","","Hypoxis","","","","","","","","",""
"HYHI2","","Hypoxis hirsuta","Vivace","Printemps","Vert","5.2","7.3","18","55","Intermédiaire","-33"
"ILEX","","Ilex","","","","","","","","",""
"ILDE","","Ilex decidua","Vivace","Printemps et été","Vert foncé","3.5","6.5","30","60","Tolérant","-18"
"ILGL","","Ilex glabra","Vivace","Été et automne","Vert","4.5","7.0","32","60","Intolérant","-13"
"ILLA","","Ilex laevigata","Vivace","","","","","","","",""
"ILMO","","Ilex montana","Vivace","","","","","","","",""
"ILMU","","Ilex mucronata","Vivace","","","","","","","",""
"ILOP","","Ilex opaca","Vivace","Printemps et été","Vert","4.5","7.0","40","80","Tolérant","-20"
"ILOPO","","Ilex opaca var. opaca","Vivace","","","","","","","",""
"ILVE","","Ilex verticillata","Vivace","Printemps et été","Vert","4.5","7.5","35","60","Intermédiaire","-28"
"IMPAT","","Impatiens","","","","","","","","",""
"IMCA","","Impatiens capensis","Annuelle","Été","Vert","6.4","7.4","14","50","Tolérant","32"
"IMPA","","Impatiens pallida","Annuelle","Été","Vert","6.8","7.4","28","50","Tolérant","32"
"INDIG","","Indigofera","","","","","","","","",""
"INTR2","","Indigofera trifoliata","Vivace","","","","","","","",""
"INULA","","Inula","","","","","","","","",""
"INHE","","Inula helenium","Vivace","","","","","","","",""
"IONAC","","Ionactis","","","","","","","","",""
"IOLI2","","Ionactis linariifolius","Vivace","","","","","","","",""
"IPOMO","","Ipomoea","","","","","","","","",""
"IPCO3","","Ipomoea coccinea","Annuelle","","","","","","","",""
"IPHE","","Ipomoea hederacea","Annuelle","","","","","","","",""
"IPLA","","Ipomoea lacunosa","Annuelle","","","","","","","",""
"IPNI","","Ipomoea nil","Annuelle","","","","","","","",""
"IPPA","","Ipomoea pandurata","Vivace","","","","","","","",""
"IPPU2","","Ipomoea purpurea","Annuelle","","","","","","","",""
"IPQU","","Ipomoea quamoclit","Annuelle","","","","","","","",""
"IPOMO2","","Ipomopsis","","","","","","","","",""
"IPRU2","","Ipomopsis rubra","Biennale","","","","","","","",""
"IRESI","","Iresine","","","","","","","","",""
"IRRH","","Iresine rhizomatosa","Vivace","","","","","","","",""
"IRIS","","Iris","","","","","","","","",""
"IRCR","","Iris cristata","Vivace","","","","","","","",""
"IREN","","Iris ensata","Vivace","","","","","","","",""
"IRGE","","Iris germanica","Vivace","","","","","","","",""
"IRPR","","Iris prismatica","Vivace","","","","","","","",""
"IRPS","","Iris pseudacorus","Vivace","","","","","","","",""
"IRVE","","Iris verna","Vivace","","","","","","","",""
"IRVEV","","Iris verna var. verna","Vivace","","","","","","","",""
"IRVE2","","Iris versicolor","Vivace","","","","","","","",""
"IRVI","","Iris virginica","Vivace","Printemps","Vert","4.8","7.3","45","65","Tolérant","12"
"IRVIS","","Iris virginica var. shrevei","Vivace","","","","","","","",""
"ISCHA","","Ischaemum","","","","","","","","",""
"ISIN3","","Ischaemum indicum","Annuelle, Vivace","","","","","","","",""
"ISRU","","Ischaemum rugosum","Annuelle, Vivace","","","","","","","",""
"ISOET","","Isoetes","","","","","","","","",""
"ISEN","","Isoetes engelmannii","Vivace","","","","","","","",""
"ISRI","","Isoetes riparia","Vivace","","","","","","","",""
"ISRIA","","Isoetes riparia var. amesii","Vivace","","","","","","","",""
"ISRIR","","Isoetes riparia var. riparia","Vivace","","","","","","","",""
"ISSA","","Isoetes saccharata","Vivace","","","","","","","",""
"ISTU","","Isoetes tuckermanii","Vivace","","","","","","","",""
"ISOTR","","Isotria","","","","","","","","",""
"ISME2","","Isotria medeoloides","Vivace","","","","","","","",""
"ISVE","","Isotria verticillata","Vivace","","","","","","","",""
"ITEA","","Itea","","","","","","","","",""
"ITVI","","Itea virginica","Vivace","Printemps","Vert","4.0","7.5","30","60","Tolérant","-24"
"IVA","","Iva","","","","","","","","",""
"IVFR","","Iva frutescens","Vivace","Printemps et été","Vert","5.0","5.7","35","65","Intolérant","2"
"IVFRO2","","Iva frutescens ssp. oraria","Vivace","","","","","","","",""
"JALTO","","Jaltomata","","","","","","","","",""
"JAPR2","","Jaltomata procumbens","Vivace","","","","","","","",""
"JASIO","","Jasione","","","","","","","","",""
"JAMO","","Jasione montana","Vivace","","","","","","","",""
"JASMI","","Jasminum","","","","","","","","",""
"JANU","","Jasminum nudiflorum","Vivace","","","","","","","",""
"JEFFE","","Jeffersonia","","","","","","","","",""
"JEDI","","Jeffersonia diphylla","Vivace","","","","","","","",""
"JUGLA","","Juglans","","","","","","","","",""
"JUCI","","Juglans cinerea","Vivace","Printemps et été","Vert","6.0","7.0","25","80","Intolérant","-33"
"JUNI","","Juglans nigra","Vivace","Printemps","Vert","4.6","8.2","30","60","Intolérant","-28"
"JUNCU","","Juncus","","","","","","","","",""
"JUAC","","Juncus acuminatus","Vivace","Printemps et été","Vert","4.4","7.2","16","55","Intermédiaire","-33"
"JUAN3","","Juncus anthelatus","Vivace","","","","","","","",""
"JUAR2","","Juncus arcticus","Vivace","","","","","","","",""
"JUARL","","Juncus arcticus ssp. littoralis","Vivace","","","","","","","",""
"JUAR4","","Juncus articulatus","Vivace","Printemps et été","Vert","4.8","7.5","18","40","Intermédiaire","-28"
"JUBI","","Juncus biflorus","Vivace","Printemps, été, automne","Vert","4.5","7.0","35","55","Tolérant","-18"
"JUBR","","Juncus brachycarpus","Vivace","Printemps et été","Vert","4.5","6.7","35","55","Intermédiaire","-23"
"JUBR2","","Juncus brachycephalus","Vivace","Printemps, été, automne","Vert","5.9","7.1","35","55","Intermédiaire","-28"
"JUBR4","","Juncus brevicaudatus","Vivace","","","","","","","",""
"JUBU","","Juncus bufonius","Annuelle","Printemps, été, automne","Vert","4.6","7.6","10","55","Intolérant","47"
"JUBUB","","Juncus bufonius var. bufonius","Annuelle","","","","","","","",""
"JUCA2","","Juncus caesariensis","Vivace","","","","","","","",""
"JUCA3","","Juncus canadensis","Vivace","Printemps, été, automne","Vert","4.5","5.9","28","60","Intermédiaire","-33"
"JUCO","","Juncus compressus","Vivace","","","","","","","",""
"JUCO4","","Juncus coriaceus","Vivace","","","","","","","",""
"JUDE","","Juncus debilis","Annuelle, Vivace","","","","","","","",""
"JUDI","","Juncus dichotomus","Vivace","Printemps, été, automne","Red","4.5","6.5","13","60","Intermédiaire","12"
"JUDI2","","Juncus diffusissimus","Vivace","","","","","","","",""
"JUDU2","","Juncus dudleyi","Vivace","","","","","","","",""
"JUEF","","Juncus effusus","Vivace","Printemps","Vert foncé","5.5","8.8","18","60","Intolérant","-38"
"JUEFC2","","Juncus effusus var. conglomeratus","Vivace","","","","","","","",""
"JUEFP2","","Juncus effusus var. pylaei","Vivace","","","","","","","",""
"JUEFS","","Juncus effusus var. solutus","Vivace","","","","","","","",""
"JUEL","","Juncus elliottii","Vivace","","","","","","","",""
"JUELE","","Juncus elliottii var. elliottii","Vivace","","","","","","","",""
"JUFI","","Juncus filiformis","Vivace","","","","","","","",""
"JUGE","","Juncus gerardii","Vivace","","","","","","","",""
"JUGEG","","Juncus gerardii var. gerardii","Vivace","","","","","","","",""
"JULO2","","Juncus longii","Vivace","","","","","","","",""
"JUMA4","","Juncus marginatus","Vivace","Printemps et été","Vert","5.5","6.8","32","55","Intermédiaire","-23"
"JUME","","Juncus megacephalus","Vivace","Printemps, été, automne","Vert","4.5","6.8","36","55","Tolérant","12"
"JUMI2","","Juncus militaris","Vivace","","","","","","","",""
"JUPE","","Juncus pelocarpus","Vivace","","","","","","","",""
"JUPO5","","Juncus polycephalos","Vivace","","","","","","","",""
"JURE2","","Juncus repens","Annuelle, Vivace","Printemps, été, automne","Vert","5.5","7.0","35","60","Intolérant","12"
"JURO","","Juncus roemerianus","Vivace","Printemps","Vert foncé","4.0","7.0","40","60","Intolérant","17"
"JUSC","","Juncus scirpoides","Vivace","Printemps et été","Vert","5.6","6.8","36","55","Tolérant","-3"
"JUSE","","Juncus secundus","Vivace","Printemps, été, automne","Vert","4.9","6.8","32","55","Intolérant","-33"
"JUSU","","Juncus subcaudatus","Vivace","Printemps, été, automne","Vert","4.5","6.0","36","55","Tolérant","-8"
"JUSUS2","","Juncus subcaudatus var. subcaudatus","Vivace","","","","","","","",""
"JUTE","","Juncus tenuis","Vivace","Printemps et été","Vert","4.5","7.0","10","55","Intermédiaire","-38"
"JUTO","","Juncus torreyi","Vivace","Été","Vert","4.5","6.5","14","50","Intolérant","-38"
"JUTR2","","Juncus trifidus","Vivace","","","","","","","",""
"JUVA2","","Juncus validus","Vivace","Printemps, été, automne","Vert","5.0","6.8","32","55","Intermédiaire","-3"
"JUVAV","","Juncus validus var. validus","Vivace","","","","","","","",""
"JUNIP","","Juniperus","","","","","","","","",""
"JUCO6","","Juniperus communis","Vivace","Printemps et été","Vert","5.5","8.0","20","60","Intolérant","-43"
"JUCOD","","Juniperus communis var. depressa","Vivace","","","","","","","",""
"JUVI","","Juniperus virginiana","Vivace","Printemps et été","Vert","4.7","8.0","15","68","Intermédiaire","-43"
"JUVIV","","Juniperus virginiana var. virginiana","Vivace","","","","","","","",""
"JUSTI","","Justicia","","","","","","","","",""
"JUAM","","Justicia americana","Vivace","Printemps","Vert foncé","5.4","7.6","35","60","Tolérant","-28"
"KALLS","","Kallstroemia","","","","","","","","",""
"KAPA","","Kallstroemia parviflora","Annuelle","","","","","","","",""
"KALMI","","Kalmia","","","","","","","","",""
"KAAN","","Kalmia angustifolia","Vivace","","","","","","","",""
"KALA","","Kalmia latifolia","Vivace","Printemps et été","Vert","4.5","5.5","32","60","Tolérant","-23"
"KALOP","","Kalopanax","","","","","","","","",""
"KASE","","Kalopanax septemlobus","Vivace","","","","","","","",""
"KICKX","","Kickxia","","","","","","","","",""
"KIEL","","Kickxia elatine","Annuelle","","","","","","","",""
"KNAUT","","Knautia","","","","","","","","",""
"KNAR","","Knautia arvensis","Annuelle, Vivace","","","","","","","",""
"KOELE","","Koeleria","","","","","","","","",""
"KOMA","","Koeleria macrantha","Vivace","Printemps et automne","Vert","6.0","8.0","14","20","Tolérant","-38"
"KOELR","","Koelreuteria","","","","","","","","",""
"KOPA","","Koelreuteria paniculata","Vivace","Printemps","Vert","4.5","8.0","26","50","Intolérant","-28"
"KOSTE","","Kosteletzkya","","","","","","","","",""
"KOVI","","Kosteletzkya virginica","Vivace","","","","","","","",""
"KRIGI","","Krigia","","","","","","","","",""
"KRBI","","Krigia biflora","Vivace","","","","","","","",""
"KRBIB","","Krigia biflora var. biflora","Vivace","","","","","","","",""
"KRDA","","Krigia dandelion","Vivace","","","","","","","",""
"KRVI","","Krigia virginica","Annuelle","","","","","","","",""
"KUMME","","Kummerowia","","","","","","","","",""
"KUST","","Kummerowia stipulacea","Annuelle","Printemps et été","Vert","5.5","7.5","30","65","Intolérant","6"
"KUST2","","Kummerowia striata","Annuelle","Printemps et été","Vert","4.9","7.3","30","65","Intolérant","8"
"KYLLI2","","Kyllinga","","","","","","","","",""
"KYBR","","Kyllinga brevifolia","Vivace","","","","","","","",""
"KYGR","","Kyllinga gracillima","Vivace","","","","","","","",""
"KYPU","","Kyllinga pumila","Annuelle, Vivace","","","","","","","",""
"LABLA","","Lablab","","","","","","","","",""
"LAPU6","","Lablab purpureus","Vivace","Year Round","Vert","4.5","7.8","24","98","Intermédiaire","31"
"LACHN2","","Lachnanthes","","","","","","","","",""
"LACA5","","Lachnanthes caroliana","Vivace","Été","Gris-vert","4.0","7.4","30","55","Intolérant","13"
"LACTU","","Lactuca","","","","","","","","",""
"LABI","","Lactuca biennis","Annuelle, Biennale","","","","","","","",""
"LACA","","Lactuca canadensis","Annuelle, Biennale","","","","","","","",""
"LAFL","","Lactuca floridana","Annuelle, Biennale","","","","","","","",""
"LAFLF","","Lactuca floridana var. floridana","Annuelle, Biennale","","","","","","","",""
"LAFLV","","Lactuca floridana var. villosa","Annuelle, Biennale","","","","","","","",""
"LAHI","","Lactuca hirsuta","Biennale","","","","","","","",""
"LAHIH3","","Lactuca hirsuta var. hirsuta","Biennale","","","","","","","",""
"LAHIS2","","Lactuca hirsuta var. sanguinea","Biennale","","","","","","","",""
"LASA","","Lactuca saligna","Annuelle, Biennale","","","","","","","",""
"LASE","","Lactuca serriola","Annuelle, Biennale","","","","","","","",""
"LAGER","","Lagerstroemia","","","","","","","","",""
"LAIN","","Lagerstroemia indica","Vivace","Printemps","Vert","5.0","7.5","32","50","Intolérant","-3"
"LAMIU","","Lamium","","","","","","","","",""
"LAAM","","Lamium amplexicaule","Annuelle, Biennale","","","","","","","",""
"LAMA","","Lamium maculatum","Vivace","","","","","","","",""
"LAPU2","","Lamium purpureum","Annuelle","","","","","","","",""
"LAPUP","","Lamium purpureum var. purpureum","Annuelle","","","","","","","",""
"LANDO2","","Landoltia","","","","","","","","",""
